flight_id,t,x,y,z
11,1139680,-0.007111555,0.073022408,0.282847114
11,1139685,-0.008526451,0.076266004,0.280735671
11,1139690,-0.00999509,0.079584939,0.278445421
11,1139695,-0.011421597,0.082947744,0.277105185
11,1139700,-0.012683588,0.086074183,0.27575835
11,1139705,-0.013798829,0.089099003,0.273768729
11,1139710,-0.014926495,0.092073866,0.272018812
11,1139715,-0.016219366,0.095270543,0.271160053
11,1139720,-0.017476409,0.098384143,0.270317526
11,1139725,-0.018563352,0.101321115,0.268492448
11,1139730,-0.01979058,0.104419909,0.266616335
11,1139735,-0.020986674,0.107408108,0.2657432
11,1139740,-0.022375017,0.110715427,0.264742564
11,1139745,-0.023592259,0.113785238,0.260280679
11,1139750,-0.024996578,0.117073732,0.257466976
11,1139755,-0.026354952,0.120383867,0.253740388
11,1139760,-0.027676816,0.123669348,0.252078923
11,1139765,-0.028945088,0.126821368,0.248479113
11,1139770,-0.030183429,0.12993232,0.246690118
11,1139775,-0.031486691,0.133185409,0.242818274
11,1139780,-0.032742247,0.136245142,0.239273242
11,1139785,-0.033997,0.139380898,0.236571997
11,1139790,-0.035176138,0.142275736,0.233207618
11,1139795,-0.03640237,0.145262353,0.230083917
11,1139800,-0.037517302,0.148221846,0.228548595
11,1139805,-0.038839237,0.151275126,0.225188016
11,1139810,-0.04017026,0.154716216,0.220992798
11,1139815,-0.04155892,0.158059784,0.217819859
11,1139820,-0.042772863,0.16101529,0.215673883
11,1139825,-0.044035025,0.164140927,0.213995521
11,1139830,-0.045337607,0.167374799,0.212307863
11,1139835,-0.04652934,0.170386263,0.210097232
11,1139840,-0.047716125,0.173314712,0.208319996
11,1139845,-0.048882807,0.176283802,0.207640415
11,1139850,-0.050114931,0.179327932,0.20568389
11,1139855,-0.051277249,0.182155653,0.204634717
11,1139860,-0.052495327,0.18497663,0.203155407
11,1139865,-0.053616439,0.187815986,0.202402003
11,1139870,-0.05476964,0.190658116,0.201199439
11,1139875,-0.055785344,0.193180324,0.199115375
11,1139880,-0.056917575,0.196019698,0.19964889
11,1139885,-0.058050539,0.198809407,0.196749299
11,1139890,-0.058954285,0.20152618,0.195812116
11,1139895,-0.060057962,0.204327103,0.195893285
11,1139900,-0.061184286,0.206938221,0.192102666
11,1139905,-0.062394134,0.209829125,0.19060821
11,1139910,-0.063312804,0.212090361,0.187752155
11,1139915,-0.064406908,0.214760179,0.18503705
11,1139920,-0.065442629,0.217280252,0.181576625
11,1139925,-0.06631118,0.219779988,0.178135322
11,1139930,-0.066909952,0.222346278,0.174042186
11,1139935,-0.067273017,0.225112415,0.169829951
11,1139940,-0.067151281,0.227113369,0.165751221
11,1139945,-0.066059893,0.229242014,0.16334603
11,1139950,-0.063658696,0.231106552,0.15971443
11,1139955,-0.059719037,0.232249112,0.159604786
11,1139960,-0.057246513,0.233603171,0.15615489
11,1139965,-0.055413621,0.234837118,0.152129315
11,1139970,-0.053081487,0.236268596,0.152453918
11,1139975,-0.050390797,0.237462039,0.148985798
11,1139980,-0.048161011,0.23878921,0.148416656
11,1139985,-0.045070402,0.239566731,0.146741986
11,1139990,-0.041804076,0.238968211,0.145821666
11,1139995,-0.038226103,0.238206012,0.145112344
11,1140000,-0.034884493,0.237176838,0.141801234
11,1140005,-0.031648683,0.235783057,0.14129371
11,1140010,-0.02864426,0.234269415,0.139577571
11,1140015,-0.026007634,0.232664879,0.138013894
11,1140019,-0.024032354,0.23039804,0.136126881
11,1140025,-0.021872611,0.228086547,0.135013093
11,1140030,-0.019180975,0.22633723,0.133207008
11,1140035,-0.017820975,0.223823181,0.131757179
11,1140040,-0.015964585,0.221724449,0.130814145
11,1140044,-0.013534292,0.219710076,0.128554263
11,1140050,-0.011606424,0.217631379,0.127175423
11,1140055,-0.009905336,0.215606015,0.126093763
11,1140060,-0.008450975,0.213226354,0.123549648
11,1140065,-0.007090067,0.21073037,0.122454331
11,1140069,-0.006148495,0.208685588,0.121379618
11,1140075,-0.005366975,0.206540852,0.119693647
11,1140079,-0.004800475,0.204458536,0.118696242
11,1140084,-0.00430148,0.202590488,0.116877064
11,1140089,-0.003570698,0.200577369,0.11595444
11,1140094,-0.002758333,0.198578297,0.116204616
11,1140100,-0.001856834,0.1964206,0.116063791
11,1140104,-0.001002659,0.194372091,0.11527551
11,1140109,-0.000187144,0.192301181,0.116260956
11,1140114,0.000640668,0.190213355,0.116128174
11,1140119,0.001501019,0.188003556,0.116247316
11,1140125,0.002563248,0.185375315,0.116452898
11,1140129,0.003279849,0.183597389,0.116209281
11,1140134,0.004131108,0.181460916,0.11630284
11,1140139,0.005053989,0.179207567,0.116108314
11,1140144,0.005920867,0.177186209,0.115985893
11,1140149,0.006725553,0.175124244,0.115768651
11,1140154,0.007505755,0.173003065,0.116064801
11,1140159,0.008332763,0.170833814,0.116013219
11,1140164,0.009164747,0.168683463,0.116225708
11,1140169,0.009966396,0.166524697,0.116016243
11,1140174,0.010784121,0.164437439,0.116131218
11,1140179,0.011617374,0.162345809,0.116014299
11,1140184,0.012493831,0.160219672,0.115921845
11,1140189,0.013664565,0.157555362,0.116011667
11,1140194,0.014374795,0.155857632,0.115961775
